Emails                                                                 Results         
====================================================
17571183_YoureonestepawayfrombecomingamemberatEuro-Millions.com.eml                         It is a spam
Get the smarter way to save and send with XE.eml                         It is a spam
Grab 10 EuroMillions lines for £1 (1).eml                         It is a spam
17661430_WelcometoWebullCommunity.eml                         It is a spam
iFlirts - new message from Alysa7414!.eml                         It is a spam
You could be entitled to thousands_ Claim now!.eml                         It is a spam
siin on lubatud pildid.eml                         It is a spam
17621237_Maildeliveryfailedreturningmessagetosender.eml                         It is a spam
Grab 10 EuroMillions lines for £1.eml                         It is a spam
Fathin you could be entitled to thousands.eml                         It is a spam
No transfer fees with XE.eml                         It is not a spam
Stay in the comfort of your own home, and still find the perfect pair.eml                         It is a spam
